"DateTime","Pre Open TATAMOTORS","TATAMOTORSEQN"
"2023-01-25 09:00:01",422.15,
"2023-01-25 09:00:02",422.15,
"2023-01-25 09:00:03",422.15,
"2023-01-25 09:00:04",422.15,
"2023-01-25 09:00:05",422.5,
"2023-01-25 09:00:06",423.5,
"2023-01-25 09:00:07",424.3,
"2023-01-25 09:00:08",424.3,
"2023-01-25 09:00:09",424.3,
"2023-01-25 09:00:10",424.3,
"2023-01-25 09:00:11",424.3,
"2023-01-25 09:00:13",424.3,
"2023-01-25 09:00:14",426.25,
"2023-01-25 09:00:16",426.25,
"2023-01-25 09:00:17",426.25,
"2023-01-25 09:00:18",426.25,
"2023-01-25 09:00:19",426,
"2023-01-25 09:00:20",426,
"2023-01-25 09:00:21",426,
"2023-01-25 09:00:22",426,
"2023-01-25 09:00:23",426,
"2023-01-25 09:00:24",426,
"2023-01-25 09:00:25",426,
"2023-01-25 09:00:27",426,
"2023-01-25 09:00:28",426,
"2023-01-25 09:00:30",426,
"2023-01-25 09:00:31",426,
"2023-01-25 09:00:32",426,
"2023-01-25 09:00:33",425,
"2023-01-25 09:00:34",425,
"2023-01-25 09:00:35",425,
"2023-01-25 09:00:36",425,
"2023-01-25 09:00:37",425,
"2023-01-25 09:00:39",424.4,
"2023-01-25 09:00:40",424.4,
"2023-01-25 09:00:41",424.65,
"2023-01-25 09:00:42",424.65,
"2023-01-25 09:00:43",424.65,
"2023-01-25 09:00:44",424.65,
"2023-01-25 09:00:45",424.65,
"2023-01-25 09:00:46",424.65,
"2023-01-25 09:00:47",424.65,
"2023-01-25 09:00:48",424.65,
"2023-01-25 09:00:49",424.65,
"2023-01-25 09:00:50",424.65,
"2023-01-25 09:00:51",424.65,
"2023-01-25 09:00:52",424.65,
"2023-01-25 09:00:54",424.65,
"2023-01-25 09:00:55",424.65,
"2023-01-25 09:00:56",424.65,
"2023-01-25 09:00:57",424.65,
"2023-01-25 09:00:58",424.65,
"2023-01-25 09:00:59",424.65,
"2023-01-25 09:01:00",424.65,
"2023-01-25 09:01:01",424.4,
"2023-01-25 09:01:02",424.4,
"2023-01-25 09:01:03",424.4,
"2023-01-25 09:01:04",424.4,
"2023-01-25 09:01:06",424.4,
"2023-01-25 09:01:07",424.4,
"2023-01-25 09:01:08",424.4,
"2023-01-25 09:01:09",424.4,
"2023-01-25 09:01:10",424.4,
"2023-01-25 09:01:11",424.4,
"2023-01-25 09:01:12",424.4,
"2023-01-25 09:01:13",424.4,
"2023-01-25 09:01:14",424.4,
"2023-01-25 09:01:15",424.4,
"2023-01-25 09:01:16",424.4,
"2023-01-25 09:01:17",424.4,
"2023-01-25 09:01:18",424.4,
"2023-01-25 09:01:19",424.4,
"2023-01-25 09:01:21",424.4,
"2023-01-25 09:01:22",424.4,
"2023-01-25 09:01:23",424.4,
"2023-01-25 09:01:25",424.4,
"2023-01-25 09:01:26",424.4,
"2023-01-25 09:01:27",424.4,
"2023-01-25 09:01:28",424.4,
"2023-01-25 09:01:30",424.4,
"2023-01-25 09:01:31",424.4,
"2023-01-25 09:01:32",424.4,
"2023-01-25 09:01:33",424.4,
"2023-01-25 09:01:34",424.4,
"2023-01-25 09:01:35",424.4,
"2023-01-25 09:01:36",424.4,
"2023-01-25 09:01:37",424.4,
"2023-01-25 09:01:39",424.4,
"2023-01-25 09:01:40",424.4,
"2023-01-25 09:01:41",424.4,
"2023-01-25 09:01:42",424.4,
"2023-01-25 09:01:43",424.4,
"2023-01-25 09:01:44",424.4,
"2023-01-25 09:01:46",424.4,
"2023-01-25 09:01:47",424.3,
"2023-01-25 09:01:48",424.3,
"2023-01-25 09:01:49",424.3,
"2023-01-25 09:01:50",424.3,
"2023-01-25 09:01:51",424.3,
"2023-01-25 09:01:52",424.3,
"2023-01-25 09:01:53",424.3,
"2023-01-25 09:01:54",424.3,
"2023-01-25 09:01:55",424.3,
"2023-01-25 09:01:56",424.3,
"2023-01-25 09:01:57",424.3,
"2023-01-25 09:01:58",424.3,
"2023-01-25 09:01:59",424.3,
"2023-01-25 09:02:00",424.3,
"2023-01-25 09:02:02",424.3,
"2023-01-25 09:02:03",424.3,
"2023-01-25 09:02:05",424.3,
"2023-01-25 09:02:06",424.3,
"2023-01-25 09:02:08",424.3,
"2023-01-25 09:02:09",424.3,
"2023-01-25 09:02:11",424.4,
"2023-01-25 09:02:12",424.4,
"2023-01-25 09:02:13",424.4,
"2023-01-25 09:02:14",424.4,
"2023-01-25 09:02:15",424.4,
"2023-01-25 09:02:16",424.4,
"2023-01-25 09:02:18",424.4,
"2023-01-25 09:02:19",424.4,
"2023-01-25 09:02:20",424.4,
"2023-01-25 09:02:21",424.4,
"2023-01-25 09:02:22",424.4,
"2023-01-25 09:02:24",424.4,
"2023-01-25 09:02:25",424.4,
"2023-01-25 09:02:26",424.4,
"2023-01-25 09:02:27",424.4,
"2023-01-25 09:02:28",424.4,
"2023-01-25 09:02:29",424.4,
"2023-01-25 09:02:31",424.4,
"2023-01-25 09:02:33",424.4,
"2023-01-25 09:02:34",424.4,
"2023-01-25 09:02:35",424.4,
"2023-01-25 09:02:36",424.4,
"2023-01-25 09:02:38",424.4,
"2023-01-25 09:02:39",424.3,
"2023-01-25 09:02:40",424.3,
"2023-01-25 09:02:41",424.4,
"2023-01-25 09:02:42",424.4,
"2023-01-25 09:02:44",424.4,
"2023-01-25 09:02:45",424.3,
"2023-01-25 09:02:46",424.3,
"2023-01-25 09:02:48",424.3,
"2023-01-25 09:02:49",424.3,
"2023-01-25 09:02:51",424.3,
"2023-01-25 09:02:52",424.3,
"2023-01-25 09:02:54",424.3,
"2023-01-25 09:02:55",424.3,
"2023-01-25 09:02:56",424.3,
"2023-01-25 09:02:58",424.3,
"2023-01-25 09:03:00",424.3,
"2023-01-25 09:03:01",424.3,
"2023-01-25 09:03:02",424.3,
"2023-01-25 09:03:03",424.3,
"2023-01-25 09:03:04",424.3,
"2023-01-25 09:03:05",424.3,
"2023-01-25 09:03:06",424.3,
"2023-01-25 09:03:08",424.3,
"2023-01-25 09:03:10",424.3,
"2023-01-25 09:03:11",424.3,
"2023-01-25 09:03:12",424.3,
"2023-01-25 09:03:13",424.3,
"2023-01-25 09:03:14",424.3,
"2023-01-25 09:03:16",424.3,
"2023-01-25 09:03:17",424.3,
"2023-01-25 09:03:18",424.3,
"2023-01-25 09:03:20",424.3,
"2023-01-25 09:03:21",424.3,
"2023-01-25 09:03:22",424.3,
"2023-01-25 09:03:23",424.15,
"2023-01-25 09:03:24",424.15,
"2023-01-25 09:03:26",424.15,
"2023-01-25 09:03:27",424.15,
"2023-01-25 09:03:28",424.15,
"2023-01-25 09:03:29",424.15,
"2023-01-25 09:03:30",424.15,
"2023-01-25 09:03:32",424.15,
"2023-01-25 09:03:33",424.15,
"2023-01-25 09:03:34",424.15,
"2023-01-25 09:03:35",424.15,
"2023-01-25 09:03:36",424.15,
"2023-01-25 09:03:38",424.15,
"2023-01-25 09:03:40",424.15,
"2023-01-25 09:03:41",424.15,
"2023-01-25 09:03:42",424.15,
"2023-01-25 09:03:44",424.15,
"2023-01-25 09:03:45",424.15,
"2023-01-25 09:03:46",424.15,
"2023-01-25 09:03:47",424.15,
"2023-01-25 09:03:48",424.15,
"2023-01-25 09:03:49",424.15,
"2023-01-25 09:03:51",424.15,
"2023-01-25 09:03:52",424.15,
"2023-01-25 09:03:54",424.15,
"2023-01-25 09:03:56",424.15,
"2023-01-25 09:03:57",424.15,
"2023-01-25 09:03:58",424.15,
"2023-01-25 09:03:59",424.15,
"2023-01-25 09:04:00",424.15,
