"DateTime","Pre Open RELIANCE","RELIANCEEQN"
"2023-01-25 09:00:01",2391.3,
"2023-01-25 09:00:02",2400,
"2023-01-25 09:00:03",2410,
"2023-01-25 09:00:04",2415.95,
"2023-01-25 09:00:05",2415.95,
"2023-01-25 09:00:06",2415.95,
"2023-01-25 09:00:07",2415.95,
"2023-01-25 09:00:08",2415.95,
"2023-01-25 09:00:09",2415.95,
"2023-01-25 09:00:10",2415.95,
"2023-01-25 09:00:11",2414,
"2023-01-25 09:00:12",2415.95,
"2023-01-25 09:00:13",2415.95,
"2023-01-25 09:00:14",2415.95,
"2023-01-25 09:00:15",2415.95,
"2023-01-25 09:00:16",2415.95,
"2023-01-25 09:00:17",2415.95,
"2023-01-25 09:00:18",2415.95,
"2023-01-25 09:00:20",2415.95,
"2023-01-25 09:00:21",2415.95,
"2023-01-25 09:00:23",2415.95,
"2023-01-25 09:00:24",2415.95,
"2023-01-25 09:00:25",2415.95,
"2023-01-25 09:00:26",2415.95,
"2023-01-25 09:00:27",2415.95,
"2023-01-25 09:00:28",2415.95,
"2023-01-25 09:00:29",2415.95,
"2023-01-25 09:00:30",2415.95,
"2023-01-25 09:00:31",2415.95,
"2023-01-25 09:00:33",2415.95,
"2023-01-25 09:00:34",2415.95,
"2023-01-25 09:00:35",2415.95,
"2023-01-25 09:00:37",2415.95,
"2023-01-25 09:00:38",2415.95,
"2023-01-25 09:00:39",2415.95,
"2023-01-25 09:00:40",2415.95,
"2023-01-25 09:00:41",2415.95,
"2023-01-25 09:00:42",2415.95,
"2023-01-25 09:00:43",2415.95,
"2023-01-25 09:00:44",2415.95,
"2023-01-25 09:00:45",2415.95,
"2023-01-25 09:00:46",2415.95,
"2023-01-25 09:00:47",2415.95,
"2023-01-25 09:00:48",2416,
"2023-01-25 09:00:49",2416,
"2023-01-25 09:00:50",2416.95,
"2023-01-25 09:00:52",2416,
"2023-01-25 09:00:53",2416,
"2023-01-25 09:00:54",2416,
"2023-01-25 09:00:55",2416,
"2023-01-25 09:00:56",2416,
"2023-01-25 09:00:57",2416,
"2023-01-25 09:00:58",2416,
"2023-01-25 09:00:59",2416,
"2023-01-25 09:01:00",2416,
"2023-01-25 09:01:02",2416,
"2023-01-25 09:01:03",2416,
"2023-01-25 09:01:04",2416,
"2023-01-25 09:01:05",2416,
"2023-01-25 09:01:06",2416,
"2023-01-25 09:01:07",2416,
"2023-01-25 09:01:08",2416,
"2023-01-25 09:01:09",2416,
"2023-01-25 09:01:10",2416,
"2023-01-25 09:01:11",2416,
"2023-01-25 09:01:12",2416,
"2023-01-25 09:01:13",2416,
"2023-01-25 09:01:15",2416,
"2023-01-25 09:01:16",2416,
"2023-01-25 09:01:17",2416,
"2023-01-25 09:01:18",2416,
"2023-01-25 09:01:19",2416,
"2023-01-25 09:01:20",2415.95,
"2023-01-25 09:01:21",2415.95,
"2023-01-25 09:01:23",2415.95,
"2023-01-25 09:01:24",2415.95,
"2023-01-25 09:01:25",2415.95,
"2023-01-25 09:01:26",2415.95,
"2023-01-25 09:01:27",2415.95,
"2023-01-25 09:01:28",2415.95,
"2023-01-25 09:01:29",2415.95,
"2023-01-25 09:01:30",2415.95,
"2023-01-25 09:01:31",2415.95,
"2023-01-25 09:01:32",2415.95,
"2023-01-25 09:01:33",2415.95,
"2023-01-25 09:01:34",2415.95,
"2023-01-25 09:01:36",2415.95,
"2023-01-25 09:01:37",2415.95,
"2023-01-25 09:01:38",2415.95,
"2023-01-25 09:01:39",2415.95,
"2023-01-25 09:01:40",2415.95,
"2023-01-25 09:01:41",2415.95,
"2023-01-25 09:01:42",2415.95,
"2023-01-25 09:01:43",2415.95,
"2023-01-25 09:01:45",2415.95,
"2023-01-25 09:01:46",2415.95,
"2023-01-25 09:01:47",2415.95,
"2023-01-25 09:01:48",2420,
"2023-01-25 09:01:49",2420,
"2023-01-25 09:01:51",2420,
"2023-01-25 09:01:52",2420,
"2023-01-25 09:01:53",2420,
"2023-01-25 09:01:54",2420,
"2023-01-25 09:01:56",2420,
"2023-01-25 09:01:58",2420,
"2023-01-25 09:02:00",2420,
"2023-01-25 09:02:01",2420,
"2023-01-25 09:02:02",2420,
"2023-01-25 09:02:03",2420,
"2023-01-25 09:02:04",2420,
"2023-01-25 09:02:05",2420,
"2023-01-25 09:02:06",2420,
"2023-01-25 09:02:07",2420,
"2023-01-25 09:02:08",2420,
"2023-01-25 09:02:10",2420,
"2023-01-25 09:02:11",2420,
"2023-01-25 09:02:12",2420,
"2023-01-25 09:02:14",2420,
"2023-01-25 09:02:15",2420,
"2023-01-25 09:02:16",2420,
"2023-01-25 09:02:17",2420,
"2023-01-25 09:02:18",2420,
"2023-01-25 09:02:19",2420,
"2023-01-25 09:02:21",2420,
"2023-01-25 09:02:22",2420,
"2023-01-25 09:02:23",2420,
"2023-01-25 09:02:24",2420,
"2023-01-25 09:02:25",2420,
"2023-01-25 09:02:26",2420,
"2023-01-25 09:02:27",2420,
"2023-01-25 09:02:29",2420,
"2023-01-25 09:02:30",2420,
"2023-01-25 09:02:31",2420,
"2023-01-25 09:02:32",2420,
